Toko,Platform,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Pembayaran,Wilayah Toko,Kategori iPhone
Komunikasi Shunshida 3C,Shopee,iPhone 12 Series,iPhone 12,128GB,100.0,Rp5.400.000,"VA, E-Wallet",Jakarta Barat,Resmi
lotusflower22,Shopee,iPhone 12 Series,iPhone 12,128GB,,Rp5.549.000,"VA, E-Wallet",Jakarta Selatan,Resmi
JNC.CELL,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,80.0,Rp3.055.000,"VA, E-Wallet",Jakarta Barat,Resmi
shop_1675372979,Shopee,iPhone 12 Series,iPhone 12 Mini,128GB,,Rp3.075.000,"VA, E-Wallet",Jakarta Barat,Inter
Apple Sure91,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,,Rp3.170.000,"VA, E-Wallet",Jakarta Barat,Resmi
sutenapratama,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,90.0,Rp3.202.000,"VA, E-Wallet",Jakarta Barat,Resmi
Gudang_iphone.id,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,,Rp3.205.000,"VA, E-Wallet",Jakarta Barat,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,90.0,Rp3.319.000,"VA, E-Wallet",Jakarta Pusat,Inter
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,90.0,Rp3.320.000,"VA, E-Wallet",Jakarta Pusat,Inter
QQ STORE168,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,,Rp3.370.000,"VA, E-Wallet",Jakarta Barat,Resmi
Vibe Gadget,Shopee,iPhone 12 Series,iPhone 12 Mini,64GB,,Rp3.750.000,"VA, E-Wallet",Medan,Resmi
hopecats17,Shopee,iPhone 12 Series,iPhone 12 Mini,128GB,,Rp5.049.000,"VA, E-Wallet",Jakarta Selatan,Resmi
Happyolshop66,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp3.210.000,"VA, E-Wallet",Jakarta Barat,Resmi
phonestore_89,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp3.230.000,"VA, E-Wallet",Jakarta Barat,Resmi
EVASTOREEE,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp3.240.000,"VA, E-Wallet",Jakarta Barat,Resmi
Superfix168,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp3.340.000,"VA, E-Wallet",Jakarta Barat,Resmi
PlanetPhonecel,Shopee,iPhone 12 Series,iPhone 12 Pro,512GB,,Rp3.522.000,"VA, E-Wallet",Jakarta Utara,Resmi
Gadget Store Cell,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,99.0,Rp3.871.200,"VA, E-Wallet",Jakarta Barat,Resmi
T-One Cell,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,99.0,Rp3.930.000,"VA, E-Wallet",Jakarta Utara,Resmi
ICOLORON,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp3.991.500,"VA, E-Wallet",Tangerang Selatan,Resmi
ICOLORON,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp4.045.500,"VA, E-Wallet",Tangerang Selatan,Resmi
iCell Mart,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp4.610.000,"VA, E-Wallet",Jakarta Utara,Resmi
Monica store86,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp4.618.000,"VA, E-Wallet",Jakarta Utara,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,90.0,Rp5.120.000,"VA, E-Wallet",Jakarta Pusat,Inter
P S T 0 R E,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp5.149.000,"VA, E-Wallet",Jakarta Timur,Resmi
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,90.0,Rp5.220.000,"VA, E-Wallet",Jakarta Pusat,Inter
Vibe Gadget,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp5.450.000,"VA, E-Wallet",Medan,Resmi
iPlanet.IND,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp5.779.000,"VA, E-Wallet",Jakarta Barat,Resmi
AWA.applewatchasli,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,85.0,Rp8.400.000,"VA, E-Wallet",Jakarta Utara,Resmi
Firestar store98,Shopee,iPhone 12 Series,iPhone 12 Pro,128GB,,Rp9.068.000,"VA, E-Wallet",Jakarta Utara,Resmi
Happyolshop66,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp3.270.000,"VA, E-Wallet",Jakarta Barat,Resmi
Velora Phone,Shopee,iPhone 12 Series,iPhone 12 Pro Max,64GB,,Rp3.280.000,"VA, E-Wallet",Jakarta Utara,Resmi
iCenter Asli,Shopee,iPhone 12 Series,iPhone 12 Pro Max,64GB,90.0,Rp3.290.000,"VA, E-Wallet",Jakarta Utara,Resmi
TiMii Resmi Store,Shopee,iPhone 12 Series,iPhone 12 Pro Max,64GB,90.0,Rp3.350.000,"VA, E-Wallet",Jakarta Utara,Resmi
LunexStore,Shopee,iPhone 12 Series,iPhone 12 Pro Max,512GB,99.0,Rp4.122.000,"VA, E-Wallet",Jakarta Utara,Resmi
iPrime_Mall.id,Shopee,iPhone 12 Series,iPhone 12 Pro Max,64GB,,Rp4.378.900,"VA, E-Wallet",Jakarta Barat,Resmi
iCenter Asli,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,90.0,Rp4.735.000,"VA, E-Wallet",Jakarta Utara,Resmi
Oscar Store 168,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp4.950.000,"VA, E-Wallet",Jakarta Utara,Resmi
azizstore818,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.050.000,"VA, E-Wallet",Jakarta Utara,Inter
